bearing,delay,timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,signMessageLong,tripID,vehicle_id,vehicle_location_longitude,vehicle_location_latitude
288,-23,2017-01-31 01:17:22,8372,8,8373,9,MAX  Red Line to City Center & Beaverton,7126635,249,-122.609747,45.527784999999994
288,-7,2017-01-31 01:19:27,8373,9,8374,10,MAX  Red Line to City Center & Beaverton,7126635,249,-122.62406399999999,45.533578999999996
269,21,2017-01-31 01:22:57,8374,10,8375,11,MAX  Red Line to City Center & Beaverton,7126635,249,-122.655078,45.530091999999996
270,23,2017-01-31 01:24:25,8375,11,8376,12,MAX  Red Line to City Center & Beaverton,7126635,249,-122.659035,45.530105999999996
273,-121,2017-01-31 01:28:34,8376,12,8377,13,MAX  Red Line to City Center & Beaverton,7126635,249,-122.664107,45.530131
225,-147,2017-01-31 01:29:49,8377,13,8378,14,MAX  Red Line to City Center & Beaverton,7126635,249,-122.66641100000001,45.529893
178,-159,2017-01-31 01:33:32,8378,14,8379,15,MAX  Red Line to City Center & Beaverton,7126635,249,-122.671416,45.524033
198,-190,2017-01-31 01:34:57,8379,15,8380,16,MAX  Red Line to City Center & Beaverton,7126635,249,-122.671297,45.522025
200,-245,2017-01-31 01:37:04,8380,16,8381,17,MAX  Red Line to City Center & Beaverton,7126635,249,-122.672855,45.519092
290,-296,2017-01-31 01:40:57,8381,17,8382,18,MAX  Red Line to City Center & Beaverton,7126635,249,-122.677044,45.518636
290,-348,2017-01-31 01:42:43,8382,18,8383,19,MAX  Red Line to City Center & Beaverton,7126635,249,-122.678308,45.518975
290,-367,2017-01-31 01:44:30,8383,19,8384,20,MAX  Red Line to City Center & Beaverton,7126635,249,-122.68028999999999,45.519506
290,-400,2017-01-31 01:46:17,8384,20,9757,21,MAX  Red Line to City Center & Beaverton,7126635,249,-122.68346399999999,45.520355
199,-378,2017-01-31 01:49:17,9757,21,9820,22,MAX  Red Line to City Center & Beaverton,7126635,249,-122.69071699999999,45.521179
204,-374,2017-01-31 01:50:42,9820,22,10117,23,MAX  Red Line to City Center & Beaverton,7126635,249,-122.69188500000001,45.519588
